locality name,latitude,longitude,Cluster Labels,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue,price per sqft
Karol Bagh,28.6430858,77.2192671,1,Hotel,Platform,Café,Rail Station,Bar,Fried Chicken Joint,Coffee Shop,Hostel,Pizzeria,Middle Eastern Restaurant,19200.0
Khanpur,28.63576,77.22445,4,Indian Restaurant,Bar,Café,Dessert Shop,Coffee Shop,Movie Theater,Diner,Falafel Restaurant,Fast Food Restaurant,Food and Beverage Retail,4250.0
Kondli,28.63576,77.22445,4,Indian Restaurant,Bar,Café,Dessert Shop,Coffee Shop,Movie Theater,Diner,Falafel Restaurant,Fast Food Restaurant,Food and Beverage Retail,11317.0
Kotla Mubarakpur,28.63576,77.22445,4,Indian Restaurant,Bar,Café,Dessert Shop,Coffee Shop,Movie Theater,Diner,Falafel Restaurant,Fast Food Restaurant,Food and Beverage Retail,16054.0
Lajpat Nagar,28.5607042,77.2536026,1,Hotel,Café,Bar,Fast Food Restaurant,Shopping Mall,Pizzeria,Vegan and Vegetarian Restaurant,Mattress Store,Korean Restaurant,Pharmacy,14550.0
Lodhi Colony,28.5897613,77.2165908,3,Park,Chinese Restaurant,Bookstore,Historic and Protected Site,Advertising Agency,Moroccan Restaurant,Pizzeria,Pharmacy,Performing Arts Venue,North Indian Restaurant,19841.0
Madangir,28.63576,77.22445,4,Indian Restaurant,Bar,Café,Dessert Shop,Coffee Shop,Movie Theater,Diner,Falafel Restaurant,Fast Food Restaurant,Food and Beverage Retail,3444.0
Maharani Bagh,28.569183,77.2634243,1,Hotel,Travel and Transportation,Coffee Shop,Fuel Station,Sculpture Garden,Advertising Agency,Motorcycle Dealership,Pharmacy,Performing Arts Venue,Park,8999.0
Maidan Garhi,28.63576,77.22445,4,Indian Restaurant,Bar,Café,Dessert Shop,Coffee Shop,Movie Theater,Diner,Falafel Restaurant,Fast Food Restaurant,Food and Beverage Retail,6025.0
Malviya Nagar,28.63576,77.22445,4,Indian Restaurant,Bar,Café,Dessert Shop,Coffee Shop,Movie Theater,Diner,Falafel Restaurant,Fast Food Restaurant,Food and Beverage Retail,7050.0
Mandi House,28.6255149,77.2341926,3,Theater,Indian Restaurant,Bakery,Art Gallery,Concert Hall,Café,Metro Station,Coffee Shop,Rail Station,Arcade,40789.0
Manglapuri,28.5016212,77.1663523,1,Hotel,Italian Restaurant,Fast Food Restaurant,Coffee Shop,Bar,Light Rail Station,Pharmacy,Performing Arts Venue,Park,Motorcycle Dealership,9235.0
Mangolpuri,28.63576,77.22445,4,Indian Restaurant,Bar,Café,Dessert Shop,Coffee Shop,Movie Theater,Diner,Falafel Restaurant,Fast Food Restaurant,Food and Beverage Retail,11235.0
Mansarover Garden,28.63576,77.22445,4,Indian Restaurant,Bar,Café,Dessert Shop,Coffee Shop,Movie Theater,Diner,Falafel Restaurant,Fast Food Restaurant,Food and Beverage Retail,12962.0
Masoodpur,28.5266068,77.1539067,3,Café,Bar,Dessert Shop,Fried Chicken Joint,Sandwich Spot,Spa,Hotel,Pizzeria,Vegan and Vegetarian Restaurant,Men's Store,25925.0
Mayapuri,28.6371795,77.1297333,1,Hotel,Chinese Restaurant,Furniture and Home Store,Advertising Agency,Motorcycle Dealership,Pizzeria,Pharmacy,Performing Arts Venue,Park,North Indian Restaurant,19230.0
Mayur Vihar Phase 1,28.63576,77.22445,4,Indian Restaurant,Bar,Café,Dessert Shop,Coffee Shop,Movie Theater,Diner,Falafel Restaurant,Fast Food Restaurant,Food and Beverage Retail,12900.0
Mayur Vihar Phase 3,28.6138954,77.2090057,4,Monument,Music Venue,Metro Station,Advertising Agency,Pizzeria,Pharmacy,Performing Arts Venue,Park,North Indian Restaurant,Music Store,7100.0
Mehrauli,28.4875461,77.1352279,4,Furniture and Home Store,Art Museum,Indian Restaurant,Advertising Agency,Moroccan Restaurant,Pizzeria,Pharmacy,Performing Arts Venue,Park,North Indian Restaurant,4850.0
Model Town,28.7057279,77.213725,2,Park,Advertising Agency,Monument,Pizzeria,Pharmacy,Performing Arts Venue,North Indian Restaurant,Music Venue,Music Store,Museum,13157.0
Mohan Garden,28.63576,77.22445,4,Indian Restaurant,Bar,Café,Dessert Shop,Coffee Shop,Movie Theater,Diner,Falafel Restaurant,Fast Food Restaurant,Food and Beverage Retail,4850.0
